variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
onlinehd,2,5000,42,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.1441933999885805,80000,0.06356040001264773,0.6515391999855638,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,5000,43,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.12937449998571537,80000,0.059721199999330565,0.6516325999982655,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,5000,44,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.13596129999496043,80000,0.06011759999091737,0.644225700001698,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,5000,45,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.12623059999896213,80000,0.05903699999907985,0.6423676999984309,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,5000,46,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.12755099998321384,80000,0.056635000015376136,0.6193538999941666,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,10000,42,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.17274020001059398,160000,0.06356040001264773,0.6515391999855638,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,10000,43,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.15731599999708124,160000,0.059721199999330565,0.6516325999982655,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,10000,44,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.16279420000500977,160000,0.06011759999091737,0.644225700001698,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,10000,45,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.1519341999955941,160000,0.05903699999907985,0.6423676999984309,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
onlinehd,2,10000,46,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.15295690001221374,160000,0.056635000015376136,0.6193538999941666,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
